,x,y,z
Archaeognatha,278.94215528491634,-120.75491773310995,192.99242716431755
Blattodea,-145.59974349389122,-198.0533814086418,118.66854424182573
Coleoptera,-3.8510925508755736,-107.00395626602739,-222.33897642787653
Dermaptera,39.36364995194375,-245.7877187711785,-85.19597924135725
Diptera,80.91036801094108,-16.602344370300596,-237.91693032660498
Embioptera,-146.00415301886432,-213.8732481401099,-62.55450919550903
Ephemeroptera,305.3081677825277,-52.706922267250434,30.1285304687173
Grylloblattodea,-72.09989113170205,-242.28653036720746,-70.03036744840149
Hemiptera,-229.45348395833048,31.34936006118183,-135.21035116767393
Hymenoptera,241.2789126252311,46.47958881996984,-90.28475496200419
Lepidoptera,126.46657264950188,-92.49832498817187,-184.4814619850482
Mantodea,-83.3261915181374,-208.62091075905158,149.75200193243225
Mantophasmatodea,-69.09523950326465,-252.23427513098392,4.3079745519369625
Mecoptera,116.56641815658492,91.68997392301254,-215.28174280874995
Megaloptera,-124.02066281243134,-56.60743000144187,-211.5570642762012
Neuroptera,-60.141621365667426,-17.1378324372789,-245.60370740223195
Odonata,260.6539063091876,-161.5332520248469,-22.180344993086116
Orthoptera,1.3770959885594873,-237.75437774992852,112.75130353726469
Phasmatodea,-164.96028947919987,-211.08264699240905,11.11905548585272
Phthiraptera-1,-223.87321379943586,9.03228179143855,70.34476422025321
Phthiraptera-10,63.50326706201977,158.85801706589731,87.01945275868646
Phthiraptera-11,28.797875587252417,178.63732690046893,43.69800295306858
Phthiraptera-12,-19.459468942778315,175.19798711651592,54.566980282854836
Phthiraptera-13,-181.59258963678346,105.39662728552584,35.75127048195244
Phthiraptera-2,12.13053789102701,194.71909349884297,-36.76498363470095
Phthiraptera-3,-91.85243431074045,161.3566809926733,52.420928819441734
Phthiraptera-4,-45.52624697576198,62.64674896440266,160.37429049920837
Phthiraptera-5,-81.31334133326072,107.8618935513447,116.4432351089927
Phthiraptera-6,-53.464801308421336,154.89173253909323,107.21459803222602
Phthiraptera-7,-23.60740565016304,119.11343739287831,150.25121708755046
Phthiraptera-8,13.141446218071215,78.78040321616255,153.86983441958918
Phthiraptera-9,52.86546488954978,80.58025180943558,131.08203016208586
Plecoptera,91.25354709190813,-242.37832452638682,-12.982554217486504
Psocoptera-1,-138.76695377829316,151.56941272826967,-30.45813009680383
Psocoptera-2,-68.40413743764347,187.51475645288605,-50.40138789427773
Psocoptera-3,65.59390001514602,153.86345937020556,44.30186362628623
Psocoptera-4,78.50966176375765,112.55373402533259,103.88289916619622
Psocoptera-5,83.89421290404545,128.3280683836243,70.46543968133908
Psocoptera-6,28.696984230722155,109.47948238273128,68.58606124801823
Psocoptera-7,42.63180561745414,132.22913369288344,130.01133821770452
Psocoptera-8,11.636939899860565,165.5338488785241,103.10743440274514
Psocoptera-9,-145.8035480988497,36.672300420815,147.92688094001286
Raphidioptera,-112.41958152678657,47.08310293515105,-231.0298454195322
Siphonaptera,159.93594626080525,65.79724897080426,-192.04312867614257
Strepsiptera,-12.461743512303272,110.0908998527636,-242.89242664426405
Thysanoptera,-250.50197141199985,-45.3213957442524,-67.16785571465877
Trichoptera,177.6933770809082,-51.3037522585326,-158.6004813575206
Zoraptera,86.90289785624388,-231.17934457757713,76.10884870580315
Zygentoma,99.54469542742004,-152.5859665081477,277.8297756937696
