,x,y,z,family,superfamily,suborder
Coenagrionidae,0.7185710668583754,0.6319132061687028,-0.2904157739235365,Coenagrionidae,Coenagrionoidea,Zygoptera
Platycnemididae,0.8631164706798009,0.4296994152527959,-0.2653080672965855,Platycnemididae,Coenagrionoidea,Zygoptera
Isostictidae,0.6802195651670989,0.3750949468139458,-0.6297659279752487,Isostictidae,Coenagrionoidea,Zygoptera
Calopterygidae,0.3024876519494011,0.0427698556777487,-0.9521932366192496,Calopterygidae,Calopterygoidea,Zygoptera
Chlorocyphidae,0.5151392165028643,0.1104258310391187,-0.8499633659518128,Chlorocyphidae,Calopterygoidea,Zygoptera
Argiolestidae,0.1726860213801651,0.4590816318095904,-0.8714491341179545,Argiolestidae,Calopterygoidea,Zygoptera
Megapodagrionidae,0.3343428251384968,0.3613457185267975,-0.8704275656140268,Megapodagrionidae,Calopterygoidea,Zygoptera
Philogangidae,-0.3456358467206939,0.2949665270761291,-0.8908033505585372,Philogangidae,Calopterygoidea,Zygoptera
Philosinidae,-0.2380471372754937,0.0457915914679067,-0.9701735363252176,Philosinidae,Calopterygoidea,Zygoptera
Rhipidolestidae,0.7652534334788773,-0.6215004405727887,-0.1677032644781218,Rhipidolestidae,Calopterygoidea,Zygoptera
Thaumatoneuridae,0.5384775369975909,-0.8425980742383418,0.0083921057456471,Thaumatoneuridae,Calopterygoidea,Zygoptera
Amphipterygidae,0.6018061632178583,-0.6781738505717129,0.4217932791234784,Amphipterygidae,Calopterygoidea,Zygoptera
Devadattidae,0.4182095965999051,-0.8690172588883927,0.2644044951695209,Devadattidae,Calopterygoidea,Zygoptera
Euphaeidae,0.952351065340376,-0.2994264618661138,-0.0580623998762667,Euphaeidae,Calopterygoidea,Zygoptera
Lestoideidae,0.9916136979815842,-0.0212925597756144,0.1274711766380527,Lestoideidae,Calopterygoidea,Zygoptera
Pseudolestidae,0.8091628861089718,-0.3807652268915876,0.4475190115894485,Pseudolestidae,Calopterygoidea,Zygoptera
Mesopodagrionidae,0.7716039285483491,-0.2246774863479964,-0.5951028520996181,Mesopodagrionidae,Calopterygoidea,Zygoptera
Amanipodagrionidae,0.8813074839423675,-0.0652966417847535,-0.4680101145475461,Amanipodagrionidae,Calopterygoidea,Zygoptera
Polythoridae,0.1363794966681065,-0.6902513652162634,-0.71060093280662,Polythoridae,Calopterygoidea,Zygoptera
Heteragrionidae,0.2227311284136505,-0.8690796382777053,-0.441691551613425,Heteragrionidae,Calopterygoidea,Zygoptera
Hypolestidae,-0.38622940325876,-0.9118194256788366,-0.1393276103760442,Hypolestidae,Calopterygoidea,Zygoptera
Dicteriadidae,-0.438831849055984,-0.8184129535161706,-0.3709809237292997,Dicteriadidae,Calopterygoidea,Zygoptera
Mesagrionidae,-0.0404803823826606,-0.9960868367649628,-0.0785643192914177,Mesagrionidae,Calopterygoidea,Zygoptera
Protolestidae,-0.0098111452609366,-0.5187191829107827,-0.854888384942174,Protolestidae,Calopterygoidea,Zygoptera
Pentaphlebiidae,-0.393695041056556,-0.3739298375092332,-0.8397503743778834,Pentaphlebiidae,Calopterygoidea,Zygoptera
Tatocnemididae,-0.6461230529086471,-0.5420100503040804,-0.5373547300148922,Tatocnemididae,Calopterygoidea,Zygoptera
Philogeniidae,0.4122451775782467,-0.3646919305037287,-0.8348974244713798,Philogeniidae,Calopterygoidea,Zygoptera
Priscagrionidae,0.5176041289338726,0.4950481715719862,0.697863363083233,Priscagrionidae,Calopterygoidea,Zygoptera
Platystictidae,-0.8799308387010051,0.3288511878260165,-0.3428973831459841,Platystictidae,Platystictoidea,Zygoptera
Lestidae,-0.6559351784544649,0.7547188887265086,-0.0121836228328493,Lestidae,Lestoidea,Zygoptera
Synlestidae,-0.2719302793292895,0.9527423939992068,0.1354099474209867,Synlestidae,Lestoidea,Zygoptera
Perilestidae,-0.5113964792321618,0.8577742923934651,0.0519317276608387,Perilestidae,Lestoidea,Zygoptera
Hemiphlebiidae,0.0883266007363412,0.9111511531768604,0.4024947051413724,Hemiphlebiidae,Lestoidea,Zygoptera
Libellulidae,-0.5378840911806356,-0.082310810306636,0.8389908431928483,Libellulidae,Libelluloidea,Anisoptera
Corduliidae,-0.8197009876173763,-0.1756147495564742,0.5452061542548055,Corduliidae,Libelluloidea,Anisoptera
Macromiidae,-0.7750506186430024,0.0694729769032432,0.628068502650229,Macromiidae,Libelluloidea,Anisoptera
Synthemistidae,-0.673849143434432,-0.217400363087882,0.706161747775918,Synthemistidae,Libelluloidea,Anisoptera
Cordulegastridae,-0.34865417018086,0.0082936826756217,0.9372147483064764,Cordulegastridae,Cordulegastroidea,Anisoptera
Neopetaliidae,-0.3459397698805208,-0.2143959211916661,0.913433119933468,Neopetaliidae,Cordulegastroidea,Anisoptera
Chlorogomphidae,-0.9194607976693254,0.2730302257549081,0.2829246142941824,Chlorogomphidae,Cordulegastroidea,Anisoptera
Gomphidae,-0.7662506369614859,0.5049696057053931,0.3973231162037479,Gomphidae,Gomphoidea,Anisoptera
Petaluridae,-0.479775199053276,0.537829816671291,0.6932206334730054,Petaluridae,Petaluroidea,Anisoptera
Aeshnidae,-0.0813218674450322,0.5220085135145351,0.8490546894597532,Aeshnidae,Aeshnoidea,Anisoptera
Austropetaliidae,-0.1538109881968481,0.6517880092132967,0.7426402702221826,Austropetaliidae,Aeshnoidea,Anisoptera
Epiophlebiidae,0.1275925507530885,0.2642457407865601,0.9559782055405251,Epiophlebiidae,Coenagrionoidea,Anisozygoptera
